NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,LongestStreak,CurrentStreak
1,1,Kesha,Animal,NA,NA,NA,NA,NA,NA,NA,NA,Kiss 'n' Tell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
7,6,Dua Lipa,Dua Lipa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kiss and Make Up (feat. BLACKPINK),Kiss and Make Up (feat. BLACKPINK),Kiss and Make Up (feat. BLACKPINK),Kiss and Make Up (feat. BLACKPINK),Kiss and Make Up (feat. BLACKPINK),Kiss and Make Up (feat. BLACKPINK),NA,NA,NA,Kiss and Make Up (feat. BLACKPINK),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
13,7,Soulja Boy Tell 'Em,iSouljaBoyTellem,Kiss Me Thru the Phone (feat. Sammie),Kiss Me Thru the Phone (feat. Sammie),Kiss Me Thru the Phone (feat. Sammie),Kiss Me Thru the Phone (feat. Sammie),Kiss Me Thru the Phone (feat. Sammie),Kiss Me Thru the Phone (feat. Sammie),Kiss Me Thru the Phone (feat. Sammie),NA,Kiss Me Thru the Phone (feat. Sammie),NA,NA,NA,Kiss Me Thru the Phone (feat. Sammie),NA,NA,NA,NA,NA,Kiss Me Thru the Phone (feat. Sammie),Kiss Me Thru the Phone (feat. Sammie),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kiss Me Thru the Phone (feat. Sammie),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kiss Me Thru the Phone (feat. Sammie),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
11,3,AWOLNATION,Megalithic Symphony,NA,Knights of Shame,Knights of Shame,Knights of Shame,NA,NA,NA,NA,NA,NA,Knights of Shame,NA,NA,NA,NA,Knights of Shame,NA,NA,NA,NA,NA,NA,NA,Knights of Shame,NA,Knights of Shame,NA,Knights of Shame,NA,NA,NA,NA,NA,Knights of Shame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Knights of Shame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Knights of Shame,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,2,Keri Hilson,In a Perfect World...,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Knock You Down (feat. Kanye West & Ne-Yo),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Knock You Down (feat. Kanye West & Ne-Yo),Knock You Down (feat. Kanye West & Ne-Yo),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
9,4,Hearts & Colors,LA on a Saturday Night - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LA on a Saturday Night,LA on a Saturday Night,LA on a Saturday Night,LA on a Saturday Night,NA,LA on a Saturday Night,LA on a Saturday Night,LA on a Saturday Night,NA,NA,NA,LA on a Saturday Night,NA,NA,NA,NA,NA,NA,NA,LA on a Saturday Night,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
7,5,The Beatles,"Past Masters, Vols. 1 & 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lady Madonna,Lady Madonna,Lady Madonna,Lady Madonna,Lady Madonna,NA,Lady Madonna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lady Madonna,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
10,3,twenty one pilots,Blurryface,Lane Boy,NA,NA,NA,NA,NA,Lane Boy,Lane Boy,NA,NA,NA,NA,NA,NA,NA,Lane Boy,NA,NA,Lane Boy,NA,Lane Boy,NA,NA,NA,NA,NA,NA,NA,Lane Boy,NA,NA,NA,NA,NA,NA,Lane Boy,Lane Boy,Lane Boy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
9,3,Katy Perry,Teenage Dream,NA,NA,NA,NA,NA,NA,Last Friday Night (T.G.I.F.),Last Friday Night (T.G.I.F.),Last Friday Night (T.G.I.F.),NA,NA,NA,NA,Last Friday Night (T.G.I.F.),Last Friday Night (T.G.I.F.),NA,NA,NA,Last Friday Night (T.G.I.F.),NA,NA,NA,NA,NA,Last Friday Night (T.G.I.F.),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Last Friday Night (T.G.I.F.),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Last Friday Night (T.G.I.F.),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
3,1,Sam Smith,In The Lonely Hour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lay Me Down,NA,Lay Me Down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lay Me Down,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
12,6,Dirty Heads,Any Port in a Storm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lay Me Down (feat. Rome),Lay Me Down (feat. Rome),Lay Me Down (feat. Rome),Lay Me Down (feat. Rome),Lay Me Down (feat. Rome),Lay Me Down (feat. Rome),NA,Lay Me Down (feat. Rome),NA,NA,Lay Me Down (feat. Rome),NA,Lay Me Down (feat. Rome),Lay Me Down (feat. Rome),NA,NA,NA,NA,NA,NA,NA,Lay Me Down (feat. Rome),NA,NA,NA,NA,NA,Lay Me Down (feat. Rome),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
9,4,Kesha,Rainbow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Learn To Let Go,Learn To Let Go,Learn To Let Go,Learn To Let Go,NA,Learn To Let Go,Learn To Let Go,Learn To Let Go,Learn To Let Go,NA,NA,NA,Learn To Let Go,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
3,1,Usher,Looking 4 Myself,NA,NA,NA,NA,NA,NA,NA,NA,Lessons for the Lover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lessons for the Lover,NA,NA,NA,NA,NA,NA,Lessons for the Lover,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
5,2,Kesha,Rainbow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let 'Em Talk (feat. Eagles of Death Metal),Let 'Em Talk (feat. Eagles of Death Metal),NA,NA,NA,Let 'Em Talk (feat. Eagles of Death Metal),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let 'Em Talk (feat. Eagles of Death Metal),Let 'Em Talk (feat. Eagles of Death Metal),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
8,3,Shoffy,Lenses,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let Go Today,NA,Let Go Today,Let Go Today,Let Go Today,NA,NA,Let Go Today,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let Go Today,Let Go Today,NA,NA,NA,Let Go Today,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
8,3,Passenger,All the Little Lights,NA,NA,NA,NA,NA,Let Her Go,Let Her Go,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let Her Go,Let Her Go,Let Her Go,NA,NA,NA,NA,NA,NA,Let Her Go,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let Her Go,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let Her Go,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
15,10,The Expendables,Gettin' Filthy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let Her Go [2],Let Her Go [2],Let Her Go [2],Let Her Go [2],Let Her Go [2],Let Her Go [2],Let Her Go [2],Let Her Go [2],Let Her Go [2],Let Her Go [2],NA,Let Her Go [2],NA,NA,Let Her Go [2],NA,Let Her Go [2],NA,NA,NA,NA,NA,NA,NA,NA,Let Her Go [2],NA,NA,Let Her Go [2],NA,NA,NA,NA,NA,NA,NA,NA,10,0
9,4,The Beatles,Let It Be,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let It Be,Let It Be,Let It Be,Let It Be,NA,Let It Be,NA,Let It Be,NA,NA,NA,Let It Be,NA,NA,NA,NA,NA,Let It Be,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let It Be,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
13,5,James Bay,Chaos and the Calm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let It Go,Let It Go,Let It Go,Let It Go,Let It Go,NA,Let It Go,NA,Let It Go,NA,NA,NA,NA,NA,NA,Let It Go,Let It Go,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let It Go,NA,Let It Go,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let It Go,NA,NA,Let It Go,NA,NA,NA,NA,NA,NA,NA,NA,5,0
5,3,Panic! At the Disco,Vices & Virtues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let's Kill Tonight,Let's Kill Tonight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let's Kill Tonight,Let's Kill Tonight,Let's Kill Tonight,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
9,7,Jason Mraz,Know.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Let's See What the Night Can Do,Let's See What the Night Can Do,Let's See What the Night Can Do,Let's See What the Night Can Do,Let's See What the Night Can Do,Let's See What the Night Can Do,Let's See What the Night Can Do,NA,NA,NA,Let's See What the Night Can Do,NA,NA,NA,NA,NA,NA,NA,Let's See What the Night Can Do,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0
1,1,Nick Jonas,Nick Jonas X2,NA,NA,NA,NA,NA,NA,NA,NA,Levels,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
17,10,5 Seconds of Summer,Youngblood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),NA,Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),Lie to Me (feat. Julia Michaels),NA,NA,NA,NA,NA,Lie to Me (feat. Julia Michaels),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0
16,5,Marina and The Diamonds,Electra Heart,NA,NA,NA,NA,NA,NA,NA,Lies,Lies,NA,NA,NA,NA,NA,NA,Lies,Lies,Lies,Lies,Lies,NA,NA,NA,NA,NA,NA,NA,Lies,NA,NA,NA,NA,NA,NA,NA,Lies,Lies,NA,NA,NA,NA,Lies,Lies,Lies,NA,NA,NA,NA,NA,NA,NA,Lies,NA,Lies,NA,Lies,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0
7,6,The Lumineers,III,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Life in the City,Life in the City,Life in the City,Life in the City,Life in the City,Life in the City,NA,NA,Life in the City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
5,3,Langhorne Slim,The Spirit Moves,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Life's a Bell,Life's a Bell,Life's a Bell,NA,NA,NA,Life's a Bell,NA,NA,Life's a Bell,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
12,10,MAX,Hell's Kitchen Angel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lights Down Low,Lights Down Low,Lights Down Low,Lights Down Low,Lights Down Low,Lights Down Low,Lights Down Low,Lights Down Low,Lights Down Low,Lights Down Low,NA,Lights Down Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lights Down Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0
1,1,Far East Movement,Free Wired,NA,NA,NA,NA,NA,NA,NA,NA,Like a G6 (feat. Cataracs & Dev),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
9,6,Jake Scott,Keep in Touch,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Like No One Does,Like No One Does,Like No One Does,Like No One Does,Like No One Does,Like No One Does,NA,Like No One Does,NA,NA,Like No One Does,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Like No One Does,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
8,6,Mumford and Sons,Sigh No More,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Little Lion Man,NA,Little Lion Man,NA,Little Lion Man,Little Lion Man,Little Lion Man,Little Lion Man,Little Lion Man,Little Lion Man,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
5,2,Mother Mother,The Sticks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Little Pistol,Little Pistol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Little Pistol,Little Pistol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Little Pistol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
8,6,Of Monsters and Men,My Head Is An Animal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Little Talks,Little Talks,NA,NA,NA,Little Talks,Little Talks,Little Talks,Little Talks,Little Talks,Little Talks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0
14,8,Louis The Child,Little Things - Single,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Little Things (feat. Quinn XCII & Chelsea Cutler),Little Things (feat. Quinn XCII & Chelsea Cutler),Little Things (feat. Quinn XCII & Chelsea Cutler),Little Things (feat. Quinn XCII & Chelsea Cutler),Little Things (feat. Quinn XCII & Chelsea Cutler),Little Things (feat. Quinn XCII & Chelsea Cutler),Little Things (feat. Quinn XCII & Chelsea Cutler),Little Things (feat. Quinn XCII & Chelsea Cutler),NA,Little Things (feat. Quinn XCII & Chelsea Cutler),NA,Little Things (feat. Quinn XCII & Chelsea Cutler),Little Things (feat. Quinn XCII & Chelsea Cutler),NA,NA,NA,NA,NA,NA,Little Things (feat. Quinn XCII & Chelsea Cutler),Little Things (feat. Quinn XCII & Chelsea Cutler),NA,NA,NA,Little Things (feat. Quinn XCII & Chelsea Cutler),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0
3,3,Matisyahu,Spark Seeker,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live Like a Warrior,Live Like a Warrior,Live Like a Warrior,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
19,3,Kris Allen,Kris Allen,Live Like We're Dying,NA,NA,NA,NA,NA,NA,Live Like We're Dying,Live Like We're Dying,Live Like We're Dying,NA,NA,Live Like We're Dying,Live Like We're Dying,NA,NA,NA,NA,NA,Live Like We're Dying,NA,NA,NA,NA,NA,NA,NA,Live Like We're Dying,Live Like We're Dying,Live Like We're Dying,NA,Live Like We're Dying,NA,Live Like We're Dying,Live Like We're Dying,NA,Live Like We're Dying,NA,NA,NA,Live Like We're Dying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live Like We're Dying,Live Like We're Dying,NA,Live Like We're Dying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live Like We're Dying,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
4,2,T.I.,Paper Trail,NA,NA,NA,Live Your Life (feat. Rihanna),Live Your Life (feat. Rihanna),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live Your Life (feat. Rihanna),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Live Your Life (feat. Rihanna),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
